id,name,logo_url
58657,Montreal Barbarians RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58657/Barbs-Logo.jpg"
58658,Montreal Wanderers RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58658/Wanderers2025 Logo (1).png"
58659,Westmount Rugby Club,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58659/westmount_logo.jpg"
58854,Beaconsfield RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58854/LOGO-2015.png"
58855,Abénakis de Sherbrooke,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58855/Abenaki Final V2 no trim (1).png"
58856,Barracudas St-Jean,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58856/LOGO ALPHACHANNEL.png"
58857,Braves de Trois-Rivières,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58857/Club-de-rugby-de-Trois-Rivieres.jpg"
58858,Brome Lake Ducks,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58858/téléchargement.png"
58859,Club de Rugby des Gaulois,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58859/LogoGaulois.png"
58860,Club de Rugby de Québec,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58860/crq.png"
58861,Nomades de Laval,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58861/Logo_Nomades.png"
58862,Club de rugby Sainte-Anne de Bellevue,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58862/logo_on_header.png"
58863,Gladiateurs Outaouais,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58863/6ed193d66ace4a76ab0b4ced218d1480_cropped.jpg"
58865,NDG Dragons Rugby,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58865/Logo NDG Dragons.jpg"
58866,Montreal Irish RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58866/Logo-mirfc kelly green.png"
58867,Mont-Tremblant RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58867/logo.png"
58868,Parc Olympique,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58868/IMG_5682.PNG"
58869,Ormstown Saracens RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58869/Saracens Rugby-Logo-281-485-01.jpg"
58870,Rugby Club de Montréal,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58870/Logo RCM.png"
58871,St-Lambert Locks RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58871/download.jpg"
58872,Town of Mount Royal RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58872/logotmrbleu.png"
58873,XV de Montréal,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58873/XV2.png"
58953,Armada,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58953/L_ArmadaMontréalRFC.png"
58954,Celtics-Association Rugby Junior Rive Sud,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58954/LOGO_4 copy.jpg"
58955,St-Georges Lumberjacks,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58955/logo_lumberjacks_rvb.jpg"
58957,Rabaska de Victoriaville,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58957/Couleur-sans-ballon.png"
61714,Lévis Rugby Club,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61714/logo-finalBD.jpg"
62071,Rugby Québec,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62071/RUGBY QUEBEC_logo_1C_PMS.jpg"
66291,Ulérions,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/66291/logo ulérions.jpg"
78557,Club de rugby de Rimouski,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/78557/RCR VF MAUVE FOND NOIR PNG.png"
83076,Rugby Châteauguay,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83076/logo_2couleurs_rugby_chateauguay_sans_slogan.png"
84171,Rugby Club de Matane,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84171/crevette.png"
84174,Lions de Valcartier,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84174/valcartier.jpg"
91830,The MOB RFC,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91830/5243c685-24f2-433c-a3ea-eebef466f0fe.jpeg"
91022,Association Régionale Rugby Sud-ouest,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91022/logo_logo entier.png"
92524,Montréal Phénix Rugby,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/92524/Logo - Montreal Phenix Rugby.png"
58956,Académie Rouge et Or,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58956/LOGO ROUGE ET OR.jpg"
90651,Rugby Club Ottawa,"https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90651/RCO Flowers black no words.png"
