date,time,home_id,away_id,venue,league_id
24/05/2025,12:00,58855,58860,Grant Bishops College,204904
24/05/2025,12:00,58854,58862,Beaconsfield HS,204904
07/06/2025,12:00,58854,58866,Beaconsfield HS,204904
07/06/2025,12:00,58862,58860,Ecole St-Georges,204904
14/06/2025,12:00,58854,58860,Beaconsfield HS,204904
14/06/2025,15:00,58866,58855,Ste-Julie,204904
28/06/2025,13:00,58866,58854,Ste-Julie,204904
28/06/2025,15:00,58860,58862,École secondaire De Rochebelle,204904
05/07/2025,12:00,58855,58854,Grant Bishops College,204904
05/07/2025,12:00,58862,58866,Ecole St-Georges,204904
12/07/2025,00:00,58860,58855,École secondaire De Rochebelle,204904
12/07/2025,12:00,58862,58854,Ecole St-Georges,204904
26/07/2025,12:00,58862,58855,Ecole St-Georges,204904
26/07/2025,13:00,58866,58860,Ste-Julie,204904
02/08/2025,12:00,58855,58866,Grant Bishops College,204904
02/08/2025,12:00,58860,58854,École secondaire De Rochebelle,204904
31/05/2025,13:30,58658,58866,Parc Riverside,204875
31/05/2025,13:30,90651,58855,Heritage College,204875
31/05/2025,15:30,58873,58659,Parc Henri-Julien,204875
07/06/2025,15:00,58855,58658,Grant Bishops College,204875
07/06/2025,15:00,58659,90651,Parc King George,204875
07/06/2025,15:30,58873,58866,Parc Henri-Julien,204875
14/06/2025,13:00,58866,58659,Ste-Julie,204875
14/06/2025,15:00,58855,58873,Grant Bishops College,204875
14/06/2025,15:30,90651,58658,Heritage College,204875
27/06/2025,20:30,58658,58659,Parc Riverside,204875
28/06/2025,13:30,90651,58873,Heritage College,204875
28/06/2025,15:00,58866,58855,Ste-Julie,204875
05/07/2025,15:00,58855,58659,Grant Bishops College,204875
05/07/2025,15:30,90651,58866,Heritage College,204875
05/07/2025,17:30,58873,58658,Parc Henri-Julien,204875
12/07/2025,00:00,58855,90651,Grant Bishops College,204875
12/07/2025,15:00,58866,58658,Ste-Julie,204875
12/07/2025,15:00,58659,58873,Parc King George,204875
19/07/2025,14:30,58658,58855,Parc Riverside,204875
19/07/2025,15:00,58866,58873,Ste-Julie,204875
19/07/2025,15:00,90651,58659,Heritage College,204875
02/08/2025,14:00,58873,58855,Parc Henri-Julien,204875
02/08/2025,15:00,58659,58866,Parc King George,204875
03/08/2025,15:00,58658,90651,Hopital Douglas,204875
31/05/2025,12:00,58658,58866,Parc Riverside,204877
31/05/2025,12:00,90651,58855,Heritage College,204877
31/05/2025,13:30,58873,58659,Parc Henri-Julien,204877
07/06/2025,13:30,58855,58658,Grant Bishops College,204877
07/06/2025,13:30,58659,90651,Parc King George,204877
07/06/2025,13:30,58873,58866,Parc Henri-Julien,204877
14/06/2025,11:00,58866,58659,Ste-Julie,204877
14/06/2025,13:30,58855,58873,Grant Bishops College,204877
14/06/2025,14:00,90651,58658,Heritage College,204877
27/06/2025,19:00,58658,58659,Parc Riverside,204877
28/06/2025,12:00,90651,58873,Heritage College,204877
28/06/2025,13:00,58866,58855,Ste-Julie,204877
05/07/2025,13:30,58855,58659,Grant Bishops College,204877
05/07/2025,14:00,90651,58866,Heritage College,204877
05/07/2025,15:00,58873,58658,Parc Henri-Julien,204877
12/07/2025,00:00,58855,90651,Grant Bishops College,204877
12/07/2025,13:00,58866,58658,Ste-Julie,204877
12/07/2025,13:30,58659,58873,Parc King George,204877
19/07/2025,13:00,58866,58873,Ste-Julie,204877
19/07/2025,13:00,58658,58855,Parc Riverside,204877
19/07/2025,13:30,90651,58659,Heritage College,204877
02/08/2025,12:00,58873,58855,Parc Henri-Julien,204877
02/08/2025,13:30,58659,58866,Parc King George,204877
03/08/2025,13:30,58658,90651,Hopital Douglas,204877
24/05/2025,10:00,58872,58870,Cegep Vanier,204905
24/05/2025,13:00,58658,58854,Parc Riverside,204905
24/05/2025,15:00,58857,58657,Parc Martin-Bergeron (Synthétique),204905
24/05/2025,15:00,58860,58955,École secondaire De Rochebelle,204905
31/05/2025,10:00,58657,58870,PARC SUNNYBROOKE,204905
31/05/2025,12:00,58854,58955,Beaconsfield HS,204905
31/05/2025,15:00,58857,58872,Academie les Estacades,204905
31/05/2025,15:00,58658,58860,Parc Riverside,204905
14/06/2025,10:30,58854,58857,Beaconsfield HS,204905
14/06/2025,13:00,58658,58657,Parc Riverside,204905
14/06/2025,13:00,58870,58860,Parc Henri-Julien,204905
14/06/2025,13:00,58955,58872,St-Georges Lumberjacks,204905
21/06/2025,13:00,58870,58854,Parc Henri-Julien,204905
21/06/2025,13:00,58955,58657,St-Georges Lumberjacks,204905
21/06/2025,15:00,58860,58857,Academie Saint-Louis,204905
28/06/2025,11:30,58872,58658,Cegep Vanier,204905
28/06/2025,15:00,58857,58955,Academie les Estacades,204905
05/07/2025,10:00,58872,58657,Cegep Vanier,204905
05/07/2025,13:00,58870,58857,Parc Henri-Julien,204905
05/07/2025,13:00,58955,58658,St-Georges Lumberjacks,204905
05/07/2025,15:00,58860,58854,Academie Saint-Louis,204905
12/07/2025,00:00,58860,58872,École secondaire De Rochebelle,204905
12/07/2025,10:00,58657,58854,PARC SUNNYBROOKE,204905
12/07/2025,13:00,58955,58870,St-Georges Lumberjacks,204905
12/07/2025,15:00,58857,58658,Academie les Estacades,204905
26/07/2025,12:00,58854,58658,Beaconsfield HS,204905
26/07/2025,12:00,58657,58857,PARC SUNNYBROOKE,204905
26/07/2025,13:00,58870,58872,Parc Henri-Julien,204905
26/07/2025,13:00,58955,58860,St-Georges Lumberjacks,204905
02/08/2025,10:00,58854,58872,Beaconsfield HS,204905
02/08/2025,12:00,58657,58860,PARC SUNNYBROOKE,204905
03/08/2025,12:00,58658,58870,Hopital Douglas,204905
24/05/2025,15:00,58858,58867,Lions Park,204906
24/05/2025,15:00,58869,58857,Chateauguay Valley Reg HS,204906
31/05/2025,14:00,58869,58858,Chateauguay Valley Reg HS,204906
31/05/2025,15:00,58857,58871,Academie les Estacades,204906
07/06/2025,14:30,58867,58869,École Secondaire Curé-Mercure,204906
07/06/2025,15:00,58858,58871,Lions Park,204906
14/06/2025,11:00,58871,58867,Ste-Julie,204906
14/06/2025,13:00,58857,58858,Academie les Estacades,204906
28/06/2025,12:30,58867,58858,École Secondaire Curé-Mercure,204906
28/06/2025,13:00,58857,58869,Academie les Estacades,204906
05/07/2025,13:00,58871,58857,Ste-Julie,204906
05/07/2025,15:00,58858,58869,Lions Park,204906
12/07/2025,13:00,58857,58867,Academie les Estacades,204906
12/07/2025,15:00,58869,58871,Chateauguay Valley Reg HS,204906
19/07/2025,14:00,58869,58867,Chateauguay Valley Reg HS,204906
19/07/2025,15:00,58871,58858,Ste-Julie,204906
26/07/2025,13:00,58867,58871,École Secondaire Curé-Mercure,204906
02/08/2025,15:00,58858,58857,Lions Park,204906
31/05/2025,12:00,58869,58659,Chateauguay Valley Reg HS,204907
31/05/2025,12:30,83076,90651,École Louis-Phillipe-Paré,204907
31/05/2025,13:00,58867,58866,École Secondaire Curé-Mercure,204907
07/06/2025,12:00,90651,58869,Heritage College,204907
07/06/2025,12:00,58659,58866,Parc King George,204907
07/06/2025,12:30,58867,83076,École Secondaire Curé-Mercure,204907
14/06/2025,11:00,90651,58659,Heritage College,204907
14/06/2025,13:00,58866,83076,Ste-Julie,204907
20/06/2025,19:30,83076,58659,Parc Billings,204907
21/06/2025,13:00,58867,90651,École Secondaire Curé-Mercure,204907
21/06/2025,13:00,58866,58869,Ste-Julie,204907
28/06/2025,14:30,58867,58869,École Secondaire Curé-Mercure,204907
05/07/2025,11:00,90651,58866,Heritage College,204907
05/07/2025,12:00,58869,83076,Chateauguay Valley Reg HS,204907
05/07/2025,12:00,58659,58867,Parc King George,204907
12/07/2025,12:00,90651,83076,Heritage College,204907
12/07/2025,12:00,58659,58869,Parc King George,204907
12/07/2025,13:00,58866,58867,Ste-Julie,204907
19/07/2025,12:00,58869,90651,Chateauguay Valley Reg HS,204907
19/07/2025,13:00,58866,58659,Ste-Julie,204907
19/07/2025,13:30,83076,58867,Parc Billings,204907
02/08/2025,11:30,83076,58866,Parc Billings,204907
02/08/2025,12:00,58869,58867,Chateauguay Valley Reg HS,204907
02/08/2025,12:00,58659,90651,Parc King George,204907
24/05/2025,11:30,58868,58862,Parc Etienne Desmarteau,204908
31/05/2025,14:00,58657,58871,PARC SUNNYBROOKE,204908
31/05/2025,15:00,58861,92524,Parc Chênier,204908
07/06/2025,10:30,58862,58861,Ecole St-Georges,204908
07/06/2025,13:00,58871,58868,Ste-Julie,204908
07/06/2025,16:00,92524,58657,Parc Villeray,204908
14/06/2025,10:30,58862,58657,Ecole St-Georges,204908
14/06/2025,11:30,58868,58861,Parc Etienne Desmarteau,204908
14/06/2025,16:00,92524,58871,Parc Villeray,204908
26/06/2025,19:30,58861,58871,Parc Chênier,204908
28/06/2025,10:30,58862,92524,Ecole St-Georges,204908
28/06/2025,15:00,58657,58868,PARC SUNNYBROOKE,204908
05/07/2025,10:30,58862,58871,Ecole St-Georges,204908
05/07/2025,11:30,58868,92524,Parc Etienne Desmarteau,204908
05/07/2025,15:00,58861,58657,Parc Chênier,204908
12/07/2025,10:30,58862,58868,Ecole St-Georges,204908
12/07/2025,11:00,58871,58657,Ste-Julie,204908
12/07/2025,16:00,92524,58861,Parc Villeray,204908
17/07/2025,20:00,58868,58871,Parc Etienne Desmarteau,204908
19/07/2025,15:00,58657,92524,PARC SUNNYBROOKE,204908
19/07/2025,15:00,58861,58862,Parc Chênier,204908
26/07/2025,11:00,58871,92524,Ste-Julie,204908
26/07/2025,15:00,58657,58862,PARC SUNNYBROOKE,204908
02/08/2025,15:00,58861,58868,Parc Chênier,204908
24/05/2025,13:00,58870,58860,Parc Henri-Julien,204705
24/05/2025,15:00,58872,58854,Cegep Vanier,204705
24/05/2025,16:00,58868,58862,Parc Etienne Desmarteau,204705
07/06/2025,15:00,58854,58870,Beaconsfield HS,204705
07/06/2025,16:00,58860,58868,École secondaire De Rochebelle,204705
07/06/2025,16:30,58862,58872,Ecole St-Georges,204705
14/06/2025,15:00,58854,58860,Beaconsfield HS,204705
14/06/2025,15:00,58862,58870,Ecole St-Georges,204705
14/06/2025,16:00,58868,58872,Parc Etienne Desmarteau,204705
28/06/2025,13:00,58870,58868,Parc Henri-Julien,204705
28/06/2025,15:00,58862,58854,Ecole St-Georges,204705
28/06/2025,15:00,58872,58860,Cegep Vanier,204705
05/07/2025,15:00,58862,58860,Ecole St-Georges,204705
05/07/2025,16:00,58868,58854,Parc Etienne Desmarteau,204705
05/07/2025,16:00,58872,58870,Cegep Vanier,204705
12/07/2025,00:00,58860,58870,École secondaire De Rochebelle,204705
12/07/2025,15:00,58854,58872,Beaconsfield HS,204705
12/07/2025,16:30,58862,58868,Ecole St-Georges,204705
26/07/2025,15:00,58872,58862,Cegep Vanier,204705
26/07/2025,16:00,58868,58860,Parc Etienne Desmarteau,204705
26/07/2025,17:00,58870,58854,Parc Henri-Julien,204705
02/08/2025,14:45,58872,58868,Cegep Vanier,204705
02/08/2025,16:00,58860,58854,École secondaire De Rochebelle,204705
02/08/2025,17:00,58870,58862,Parc Henri-Julien,204705
24/05/2025,13:20,58872,58854,Cegep Vanier,204706
24/05/2025,14:00,58868,58862,Parc Etienne Desmarteau,204706
24/05/2025,15:00,58870,58860,Parc Henri-Julien,204706
07/06/2025,13:30,58854,58870,Beaconsfield HS,204706
07/06/2025,14:30,58860,58868,École secondaire De Rochebelle,204706
07/06/2025,15:00,58862,58872,Ecole St-Georges,204706
14/06/2025,13:30,58854,58860,Beaconsfield HS,204706
14/06/2025,13:30,58862,58870,Ecole St-Georges,204706
14/06/2025,14:00,58868,58872,Parc Etienne Desmarteau,204706
28/06/2025,13:15,58872,58860,Cegep Vanier,204706
28/06/2025,13:30,58862,58854,Ecole St-Georges,204706
28/06/2025,15:00,58870,58868,Parc Henri-Julien,204706
05/07/2025,13:20,58872,58870,Cegep Vanier,204706
05/07/2025,13:30,58862,58860,Ecole St-Georges,204706
05/07/2025,14:00,58868,58854,Parc Etienne Desmarteau,204706
12/07/2025,00:00,58860,58870,École secondaire De Rochebelle,204706
12/07/2025,13:30,58854,58872,Beaconsfield HS,204706
12/07/2025,15:00,58862,58868,Ecole St-Georges,204706
26/07/2025,13:30,58868,58860,Parc Etienne Desmarteau,204706
26/07/2025,14:00,58870,58854,Parc Henri-Julien,204706
26/07/2025,14:00,58872,58862,Cegep Vanier,204706
02/08/2025,13:00,58872,58868,Cegep Vanier,204706
02/08/2025,13:30,58860,58854,École secondaire De Rochebelle,204706
02/08/2025,15:00,58870,58862,Parc Henri-Julien,204706
24/05/2025,11:40,58872,58860,Cegep Vanier,204704
24/05/2025,13:30,58862,90651,Ecole St-Georges,204704
31/05/2025,15:00,90651,58860,Heritage College,204704
31/05/2025,15:00,58872,58862,Cegep Vanier,204704
07/06/2025,13:00,58860,58872,École secondaire De Rochebelle,204704
07/06/2025,13:30,58862,90651,Ecole St-Georges,204704
14/06/2025,12:00,58862,58860,Ecole St-Georges,204704
14/06/2025,12:30,90651,58872,Heritage College,204704
28/06/2025,12:00,58862,58872,Ecole St-Georges,204704
28/06/2025,15:00,90651,58860,Heritage College,204704
05/07/2025,11:40,58872,58860,Cegep Vanier,204704
05/07/2025,12:30,90651,58862,Heritage College,204704
12/07/2025,00:00,58860,90651,École secondaire De Rochebelle,204704
12/07/2025,13:30,58862,58872,Ecole St-Georges,204704
26/07/2025,15:00,58860,58862,École secondaire De Rochebelle,204704
26/07/2025,15:40,58872,90651,Cegep Vanier,204704
